player_id,player_name,age,nationality,position,secondary_position,foot,height_cm,weight_kg,club,league,matches_played,matches_started,minutes_played,goals,assists,goals_per_90,assists_per_90,xG,xA,xG_per_90,xA_per_90,shots,shots_on_target,shot_accuracy,passes_completed,pass_completion_pct,progressive_passes,key_passes,key_passes_per_90,tackles,tackles_per_90,interceptions,interceptions_per_90,blocks,clearances,aerial_wins,aerial_win_pct,dribbles_completed,dribbles_per_90,dribble_success_pct,progressive_carries,progressive_carries_per_90,carries_final_third,carries_penalty_area,touches,touches_per_90,pressures,pressure_success,pressure_success_pct,sca,sca_per_90,gca,gca_per_90,saves,save_pct,clean_sheets,goals_against,yellow_cards,red_cards,fouls_committed,fouls_drawn,market_value_eur,wage_weekly_eur,contract_expires,current_ability,potential_ability,potential_category,season,scout_recommendation,value_category
11,Pedri Jota,21,Morocco,LW,,Right,177,69,Arsenal,Premier League,17,13,1317,4,2,0.273,0.137,4.75,4.03,0.324,0.275,55,21,0.382,453,87.8,87,32,2.2,22.9,1.56,10.7,0.73,5.3,5.6,8.8,63.1,46.2,3.16,74.3,90.3,6.17,47.2,14.9,760,52.0,217.9,73.1,33.6,64,4.37,2,0.14,0.0,,,,1,0,9.7,28.7,3337074,1000,2026,64,73,Decent,2024-25,Low Priority,Low-Medium (€1-5M)
12,Arda Elliott,19,England,CM,,Right,187,80,Arsenal,Premier League,16,16,1236,1,2,0.073,0.146,1.9,0.78,0.138,0.057,15,7,0.467,714,86.9,109,18,1.37,25.3,1.84,27.1,1.97,10.5,11.6,17.2,40.8,14.3,1.04,57.3,33.1,2.41,18.0,5.1,1043,76.0,235.0,69.7,29.6,29,2.11,3,0.22,0.0,,,,2,0,9.1,37.5,1732239,1000,2027,66,82,Very Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
13,Enzo Júnior,19,Turkey,LW,,Right,181,75,Arsenal,Premier League,22,20,1689,3,1,0.16,0.053,3.24,4.59,0.173,0.245,57,28,0.491,506,82.2,131,55,2.95,30.7,1.64,12.0,0.64,5.0,3.4,11.3,49.7,55.6,2.96,68.5,94.5,5.04,36.0,5.0,750,40.0,391.6,100.7,25.7,90,4.8,1,0.05,0.0,,,,5,0,39.1,39.4,3109477,1000,2029,59,71,Decent,2024-25,Monitor,Low-Medium (€1-5M)
14,Giorgi Gravenberch,21,Ivory Coast,CAM,,Right,182,65,Arsenal,Premier League,19,17,1458,2,5,0.123,0.309,4.43,3.89,0.273,0.24,53,21,0.396,712,88.3,162,64,3.99,19.3,1.19,21.2,1.31,13.2,2.4,5.8,42.8,49.4,3.05,69.7,71.1,4.39,24.1,4.9,891,55.0,195.7,51.2,26.1,93,5.74,4,0.25,0.0,,,,1,0,24.8,47.6,2288719,1000,2029,82,92,World Class,2024-25,Must Sign,Low-Medium (€1-5M)
15,Lamine Saka,18,England,LB,,Right,173,71,Aston Villa,Premier League,13,12,1034,0,0,0.0,0.0,0.55,0.72,0.048,0.063,3,1,0.333,643,85.3,34,2,0.17,34.4,2.99,34.2,2.97,15.0,54.8,24.0,64.4,13.9,1.21,47.7,29.8,2.59,10.1,4.6,585,51.0,104.1,28.3,27.2,12,1.04,0,0.0,0.0,,,,1,0,22.7,13.8,1777901,1000,2027,74,88,Excellent,2024-25,Must Sign,Low-Medium (€1-5M)
16,Kylian Garnacho,18,France,CM,RW,Right,172,68,Aston Villa,Premier League,15,12,1129,1,2,0.08,0.159,1.5,1.44,0.119,0.115,11,3,0.273,627,92.0,75,15,1.22,31.3,2.5,18.8,1.5,17.8,6.4,14.8,60.3,13.1,1.05,69.6,40.2,3.21,22.9,2.5,815,65.0,161.2,44.5,27.6,27,2.15,2,0.16,0.0,,,,1,0,28.0,32.6,2335784,1000,2029,67,83,Very Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
17,João Fati,20,Brazil,LW,,Both,169,64,Aston Villa,Premier League,19,16,1432,5,2,0.314,0.126,2.93,3.66,0.184,0.23,41,19,0.463,556,87.1,111,40,2.57,9.2,0.58,9.6,0.6,3.1,2.0,23.7,36.7,49.8,3.13,68.4,128.1,8.05,61.3,15.5,636,40.0,311.6,113.4,36.4,81,5.09,4,0.25,0.0,,,,4,0,20.0,45.2,3048474,1000,2027,77,87,Excellent,2024-25,Must Sign,Low-Medium (€1-5M)
18,Yunus Yıldız,21,Switzerland,RW,,Right,169,61,Aston Villa,Premier League,3,3,231,1,0,0.39,0.0,1.01,0.51,0.395,0.199,7,3,0.429,77,82.0,7,5,1.96,4.7,1.85,1.7,0.65,1.2,1.2,2.7,61.7,6.2,2.41,71.3,22.3,8.7,12.0,3.2,118,46.0,35.1,9.5,27.1,11,4.29,2,0.78,0.0,,,,0,0,5.1,2.2,474679,1000,2026,65,75,Good,2024-25,Low Priority,Low (<€1M)
19,Amadou Dembélé,21,Spain,RB,,Right,179,75,Aston Villa,Premier League,29,26,2194,1,2,0.041,0.082,0.94,1.69,0.038,0.069,13,3,0.231,1072,91.9,97,9,0.37,50.4,2.07,45.0,1.85,22.7,93.7,92.1,50.8,11.4,0.47,48.4,31.7,1.3,10.5,6.0,1998,82.0,495.9,168.1,33.9,18,0.74,3,0.12,0.0,,,,4,0,48.1,69.6,3402844,1000,2026,62,78,Good,2024-25,Monitor,Low-Medium (€1-5M)
20,Randal Yamal,21,Spain,ST,CAM,Right,185,79,Aston Villa,Premier League,19,19,1432,5,3,0.314,0.189,8.14,1.07,0.511,0.067,56,30,0.536,365,76.8,31,25,1.62,22.3,1.4,10.7,0.67,1.9,7.4,27.8,49.9,38.9,2.44,69.0,31.8,2.0,11.6,2.6,477,30.0,338.4,98.7,29.2,43,2.7,3,0.19,0.0,,,,4,0,13.8,23.2,3273914,1000,2026,71,86,Excellent,2024-25,Highly Recommended,Low-Medium (€1-5M)
21,Nicolo Mainoo,19,Portugal,RB,,Right,172,62,Aston Villa,Premier League,14,13,1120,0,0,0.0,0.0,0.3,0.7,0.024,0.056,4,1,0.25,846,82.9,62,5,0.4,27.1,2.18,28.5,2.29,13.9,25.8,23.5,64.1,14.4,1.16,56.9,37.0,2.98,18.6,2.0,622,50.0,146.5,41.7,28.5,16,1.29,0,0.0,0.0,,,,0,0,12.3,29.7,1030805,1000,2028,72,85,Excellent,2024-25,Highly Recommended,Low-Medium (€1-5M)
22,Gonçalo Pedri,18,France,CAM,CB,Left,174,67,Aston Villa,Premier League,1,0,123,0,0,0.0,0.0,0.43,0.45,0.317,0.332,3,1,0.333,49,82.4,16,3,2.67,2.0,1.44,1.1,0.79,0.9,0.6,0.9,44.5,5.3,3.87,45.6,8.3,6.05,4.7,1.4,92,68.0,31.1,10.1,32.3,6,4.39,0,0.0,0.0,,,,0,0,2.4,2.4,159926,1000,2029,69,90,World Class,2024-25,Must Sign,Low (<€1M)
23,Ryan Kubo,17,Argentina,ST,RB,Right,194,72,Aston Villa,Premier League,10,7,750,2,0,0.24,0.0,2.9,1.54,0.348,0.185,39,19,0.487,241,80.9,8,9,1.1,11.6,1.4,4.5,0.54,2.4,2.6,9.5,53.9,11.8,1.42,49.9,31.0,3.71,12.9,2.9,400,48.0,152.1,43.6,28.7,18,2.16,0,0.0,0.0,,,,1,0,19.8,20.1,437134,1000,2029,69,90,World Class,2024-25,Must Sign,Low (<€1M)
24,Vinícius Højlund,19,Portugal,GK,ST,Right,185,65,Bournemouth,Premier League,10,9,778,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,181,67.1,17,0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,8.6,68.0,0.0,0.0,46.2,8.6,1.0,3.1,1.1,224,26.0,208.8,66.2,31.7,1,0.12,0,0.0,34.6,66.9,3.0,17.0,1,0,8.6,16.2,1278307,1000,2026,65,80,Very Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
25,Pedri Tel,22,Spain,LW,RB,Left,179,67,Bournemouth,Premier League,21,19,1621,8,3,0.444,0.167,7.36,4.9,0.409,0.272,47,24,0.511,738,83.5,90,47,2.62,22.0,1.22,19.7,1.1,8.5,5.0,14.1,36.8,72.1,4.0,47.7,144.4,8.02,65.9,16.5,774,43.0,346.7,125.0,36.1,97,5.39,4,0.22,0.0,,,,0,0,22.8,51.4,4793887,1146,2027,70,77,Good,2024-25,Recommended,Low-Medium (€1-5M)
26,Alejandro Barella,19,Argentina,GK,,Right,193,82,Bournemouth,Premier League,4,4,366,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,126,68.0,8,0,0.0,0.0,0.0,4.1,1.0,0.0,4.1,4.1,43.1,0.0,0.0,73.3,4.1,1.0,2.0,0.3,170,42.0,62.1,19.1,30.8,0,0.0,2,0.49,12.2,73.0,0.0,6.0,0,0,7.0,4.7,627859,1000,2028,57,73,Decent,2024-25,Low Priority,Low (<€1M)
27,Randal Gyökeres,20,Brazil,CAM,,Left,181,72,Bournemouth,Premier League,18,18,1422,4,4,0.253,0.253,4.22,3.19,0.267,0.202,39,17,0.436,805,79.8,205,49,3.16,22.7,1.43,18.9,1.2,3.6,11.5,21.0,69.7,41.8,2.64,46.8,72.1,4.56,39.2,10.7,837,53.0,383.1,145.3,37.9,76,4.81,5,0.32,0.0,,,,0,0,38.3,16.4,3591107,1000,2029,61,75,Good,2024-25,Monitor,Low-Medium (€1-5M)
28,Ousmane Højlund,20,Ivory Coast,ST,LB,Right,179,70,Bournemouth,Premier League,18,18,1404,10,3,0.641,0.192,8.28,2.77,0.53,0.178,72,37,0.514,436,75.3,15,30,1.96,16.3,1.04,12.5,0.8,2.8,7.1,56.4,39.5,16.7,1.07,53.5,62.0,3.98,18.6,8.3,608,39.0,185.4,71.6,38.6,47,3.01,7,0.45,0.0,,,,1,0,11.4,25.4,5375783,1000,2029,77,87,Excellent,2024-25,Highly Recommended,Medium (€5-10M)
29,Federico Lukeba,19,Senegal,GK,,Left,199,83,Bournemouth,Premier League,3,0,282,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,106,83.6,6,0,0.0,0.0,0.0,3.1,1.0,0.0,6.3,3.1,44.6,0.0,0.0,74.9,0.0,0.0,0.0,0.0,112,36.0,70.5,28.1,39.9,0,0.0,2,0.64,9.4,75.6,0.0,2.0,0,0,6.4,7.2,403603,1000,2026,73,90,World Class,2024-25,Highly Recommended,Low (<€1M)
30,Sandro Tonali,19,Spain,CDM,ST,Left,180,66,Bournemouth,Premier League,18,15,1357,2,1,0.133,0.066,2.17,1.1,0.144,0.073,19,9,0.474,904,91.6,120,22,1.48,30.9,2.05,37.3,2.48,11.9,27.8,18.0,35.0,12.4,0.82,62.9,24.3,1.61,14.3,1.9,1191,79.0,342.2,109.8,32.1,30,1.99,2,0.13,0.0,,,,3,0,35.0,44.2,3109193,1000,2029,68,80,Very Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
31,Gonçalo Lukeba,18,Argentina,CAM,CB,Right,166,65,Bournemouth,Premier League,7,3,593,1,1,0.152,0.152,2.05,1.51,0.311,0.229,22,10,0.455,296,86.3,39,28,4.38,12.3,1.86,7.7,1.17,5.3,1.3,2.8,63.8,19.3,2.93,46.2,20.3,3.07,10.8,3.9,434,66.0,76.3,23.0,30.2,38,5.77,1,0.15,0.0,,,,1,0,7.5,19.4,902887,1000,2026,55,72,Decent,2024-25,Low Priority,Low (<€1M)
32,Phil Camavinga,22,Spain,CAM,LB,Right,170,67,Bournemouth,Premier League,20,20,1539,6,6,0.351,0.351,5.47,5.31,0.32,0.31,37,18,0.486,701,85.9,222,57,3.37,29.5,1.73,14.4,0.84,12.2,8.0,20.1,42.7,29.1,1.7,57.6,55.4,3.24,22.1,6.7,1145,67.0,276.1,94.5,34.2,77,4.5,4,0.23,0.0,,,,1,0,41.9,38.1,4552182,1000,2027,85,91,World Class,2024-25,Must Sign,Low-Medium (€1-5M)
33,Khvicha Olise,21,Spain,CB,,Left,182,67,Bournemouth,Premier League,14,13,1055,0,0,0.0,0.0,0.31,0.85,0.026,0.073,6,2,0.333,855,91.5,46,9,0.77,25.9,2.21,20.1,1.72,12.6,39.8,42.1,45.9,6.8,0.58,57.0,39.0,3.33,17.7,4.4,926,79.0,219.8,67.3,30.6,18,1.54,2,0.17,0.0,,,,2,0,21.4,11.8,816769,1000,2029,68,80,Very Good,2024-25,Highly Recommended,Low (<€1M)
34,Ousmane Güler,16,Argentina,RW,,Right,177,68,Bournemouth,Premier League,4,3,364,1,1,0.247,0.247,0.78,0.81,0.194,0.201,12,6,0.5,177,79.9,20,12,2.97,6.0,1.5,2.9,0.73,2.8,1.7,4.1,59.0,20.4,5.04,45.5,20.3,5.03,7.5,1.2,238,59.0,100.2,26.9,26.8,22,5.44,1,0.25,0.0,,,,0,0,7.6,6.8,350995,1000,2026,58,79,Good,2024-25,Monitor,Low (<€1M)
35,Xavi Félix,21,Italy,CAM,,Right,176,66,Brentford,Premier League,23,19,1761,3,7,0.153,0.358,6.36,3.57,0.325,0.182,36,17,0.472,782,88.4,215,51,2.64,29.2,1.49,28.8,1.47,9.8,2.2,11.6,61.3,70.0,3.58,47.7,126.4,6.46,63.6,10.4,1193,61.0,466.2,164.8,35.3,97,4.96,6,0.31,0.0,,,,0,0,22.2,53.0,4478976,1000,2027,74,89,Excellent,2024-25,Must Sign,Low-Medium (€1-5M)
36,Jamal Elliott,17,Netherlands,LB,,Left,170,60,Brentford,Premier League,7,5,550,0,0,0.0,0.0,0.11,0.4,0.018,0.065,2,0,0.0,281,88.8,30,2,0.33,16.0,2.62,9.0,1.48,6.5,16.4,10.3,68.4,6.3,1.02,45.5,18.4,3.0,10.3,2.3,360,59.0,97.0,29.8,30.7,7,1.15,1,0.16,0.0,,,,0,0,12.4,15.8,238336,1000,2029,71,87,Excellent,2024-25,Highly Recommended,Low (<€1M)
37,Désiré Mbappé,16,Netherlands,CB,,Right,181,73,Brentford,Premier League,2,0,211,0,0,0.0,0.0,0.02,0.14,0.01,0.062,1,0,0.0,159,91.6,11,1,0.43,4.0,1.72,5.7,2.44,2.6,11.6,8.3,63.7,2.2,0.93,71.5,3.2,1.37,1.1,0.4,138,59.0,39.7,14.1,35.6,2,0.85,2,0.85,0.0,,,,0,0,4.1,6.8,76403,1000,2027,58,78,Good,2024-25,Monitor,Low (<€1M)
38,Benjamin Haaland,18,Portugal,LB,RB,Right,180,63,Brentford,Premier League,9,6,708,0,0,0.0,0.0,0.2,0.53,0.025,0.067,2,0,0.0,566,87.1,55,2,0.25,26.3,3.34,21.4,2.73,6.5,18.0,12.3,56.1,8.4,1.07,55.1,22.2,2.82,10.6,2.8,637,81.0,94.0,29.0,30.9,8,1.02,2,0.25,0.0,,,,0,0,14.8,23.4,1318852,1000,2027,63,80,Very Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
39,Arda Wirtz,21,Germany,ST,LB,Right,186,72,Brentford,Premier League,15,15,1193,6,1,0.453,0.075,7.84,1.99,0.591,0.15,35,17,0.486,331,84.3,26,25,1.96,7.6,0.58,7.5,0.57,2.6,1.6,28.3,40.3,25.3,1.91,74.8,59.5,4.49,21.0,9.1,649,49.0,232.8,91.6,39.4,45,3.39,3,0.23,0.0,,,,1,0,27.7,37.6,2164197,1000,2028,71,86,Excellent,2024-25,Must Sign,Low-Medium (€1-5M)
40,Reece Mount,20,Senegal,ST,,Left,185,71,Brentford,Premier League,11,8,834,5,1,0.54,0.108,2.9,0.88,0.313,0.095,29,13,0.448,176,85.1,9,15,1.67,12.0,1.29,3.9,0.42,5.3,4.2,13.8,47.1,27.5,2.97,74.3,29.9,3.22,13.8,4.3,315,34.0,153.1,47.4,31.0,29,3.13,3,0.32,0.0,,,,0,0,12.1,11.0,2609523,1000,2028,70,84,Very Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
41,Ismaël Mitoma,21,Spain,CAM,,Right,168,72,Brentford,Premier League,16,12,1233,3,5,0.219,0.365,4.81,3.88,0.351,0.283,23,10,0.435,520,79.6,123,30,2.2,22.8,1.67,6.1,0.45,9.3,10.4,18.5,44.3,30.1,2.19,50.3,87.8,6.41,36.5,11.8,753,55.0,249.9,76.2,30.5,56,4.09,4,0.29,0.0,,,,1,0,11.5,13.2,2338237,1000,2026,68,76,Good,2024-25,Monitor,Low-Medium (€1-5M)
42,Rasmus Ferguson,20,Portugal,LW,,Right,169,65,Brentford,Premier League,9,6,689,2,1,0.261,0.131,1.45,2.14,0.189,0.28,22,8,0.364,237,81.8,53,17,2.27,14.9,1.95,4.0,0.52,1.5,2.0,9.6,40.3,30.9,4.04,54.7,56.7,7.4,31.2,8.2,482,63.0,141.8,42.3,29.9,38,4.96,3,0.39,0.0,,,,1,0,16.8,7.8,1161397,1000,2026,63,75,Good,2024-25,Monitor,Low-Medium (€1-5M)
43,Sandro Gravenberch,21,Portugal,CAM,,Both,174,65,Brighton,Premier League,2,2,204,0,0,0.0,0.0,0.79,0.37,0.346,0.165,4,2,0.5,95,83.5,18,7,3.24,2.4,1.08,1.9,0.84,0.9,1.6,1.9,68.0,8.4,3.71,68.5,7.8,3.42,2.4,1.3,126,56.0,35.2,9.1,25.7,11,4.85,0,0.0,0.0,,,,0,0,3.2,6.8,256613,1000,2029,83,92,World Class,2024-25,Highly Recommended,Low (<€1M)
44,Gavi Mamardashvili,19,Argentina,RB,CM,Right,174,66,Brighton,Premier League,13,13,1009,0,0,0.0,0.0,0.01,0.29,0.001,0.026,4,1,0.25,717,88.4,44,4,0.36,20.3,1.81,21.8,1.95,7.5,38.8,42.6,45.0,10.4,0.92,69.5,31.9,2.85,15.3,2.1,930,83.0,98.0,26.1,26.7,13,1.16,2,0.18,0.0,,,,0,0,20.8,21.2,1186516,1000,2026,63,83,Very Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
45,Cole James,21,South Korea,RW,,Right,177,75,Brighton,Premier League,27,24,2027,3,4,0.133,0.178,8.47,3.79,0.376,0.168,69,34,0.493,585,76.7,135,70,3.14,18.5,0.82,17.0,0.76,15.5,8.9,21.4,58.0,91.6,4.07,54.3,147.3,6.54,69.7,26.8,1373,61.0,238.2,62.9,26.4,127,5.64,4,0.18,0.0,,,,5,0,23.8,27.6,3480673,1000,2029,59,75,Good,2024-25,Recommended,Low-Medium (€1-5M)
46,Viktor Zaïre-Emery,21,Portugal,LW,,Right,173,63,Brighton,Premier League,31,30,2381,11,8,0.416,0.302,4.06,6.74,0.153,0.255,93,45,0.484,1058,76.9,132,92,3.49,27.8,1.05,18.6,0.7,16.0,12.0,26.8,56.1,89.2,3.37,45.7,160.4,6.06,65.2,27.1,1243,47.0,213.1,73.1,34.3,151,5.71,9,0.34,0.0,,,,1,0,16.0,49.5,3867750,1000,2029,70,79,Good,2024-25,Highly Recommended,Low-Medium (€1-5M)
47,Erling Barella,20,Spain,RB,,Left,170,63,Brighton,Premier League,21,17,1624,0,0,0.0,0.0,0.47,0.16,0.026,0.009,7,2,0.286,902,90.8,126,5,0.28,55.8,3.09,36.0,1.99,13.8,73.2,71.8,41.5,21.6,1.2,69.1,58.1,3.22,23.3,3.1,1353,75.0,200.9,61.2,30.4,23,1.27,0,0.0,0.0,,,,4,0,24.5,49.1,1285052,1000,2028,75,84,Very Good,2024-25,Must Sign,Low-Medium (€1-5M)
48,Jamal van de Ven,19,Spain,CDM,,Right,187,68,Brighton,Premier League,19,19,1470,1,2,0.061,0.122,0.76,2.66,0.046,0.163,25,12,0.48,1110,83.6,163,14,0.86,33.5,2.05,23.1,1.41,20.3,32.1,23.4,67.8,18.7,1.14,46.6,72.8,4.46,23.2,13.5,979,60.0,266.0,67.9,25.5,34,2.08,1,0.06,0.0,,,,4,0,29.9,47.7,1916315,1000,2028,60,71,Decent,2024-25,Low Priority,Low-Medium (€1-5M)
49,Michael James,18,Serbia,CDM,,Right,187,70,Brighton,Premier League,12,8,926,1,1,0.097,0.097,1.51,1.45,0.147,0.141,12,3,0.25,637,90.2,113,12,1.23,32.9,3.2,19.0,1.84,9.5,6.9,23.3,38.9,16.3,1.58,55.7,17.9,1.74,7.8,2.2,781,76.0,177.4,46.5,26.2,21,2.04,0,0.0,0.0,,,,2,0,20.6,14.8,1338436,1000,2027,57,78,Good,2024-25,Recommended,Low-Medium (€1-5M)
50,Leroy Pedri,21,Brazil,ST,,Left,181,76,Brighton,Premier League,23,19,1778,10,1,0.506,0.051,7.69,3.79,0.389,0.192,77,40,0.519,671,72.4,19,18,0.96,14.1,0.71,8.4,0.43,5.8,8.3,41.8,54.5,42.1,2.13,50.0,53.2,2.69,18.9,3.4,790,40.0,306.2,85.5,27.9,42,2.13,6,0.3,0.0,,,,3,0,45.3,38.4,3795468,1000,2026,70,81,Very Good,2024-25,Must Sign,Low-Medium (€1-5M)
51,Rasmus Mitoma,19,Ghana,CAM,,Right,165,63,Brighton,Premier League,7,4,534,2,1,0.337,0.169,2.04,2.04,0.344,0.344,19,7,0.368,267,84.1,77,26,4.47,7.3,1.23,2.7,0.45,4.6,1.9,8.9,46.0,23.4,3.95,52.6,33.4,5.62,18.3,2.7,290,49.0,56.9,14.5,25.4,40,6.74,1,0.17,0.0,,,,0,0,14.7,16.5,1266015,1000,2029,55,73,Decent,2024-25,Low Priority,Low-Medium (€1-5M)
52,Reece Chiesa,21,Brazil,RW,,Right,165,61,Brighton,Premier League,1,0,140,0,0,0.0,0.0,0.54,0.36,0.345,0.232,4,2,0.5,54,86.0,7,4,2.77,1.1,0.69,1.4,0.91,0.5,0.6,0.6,44.1,4.1,2.61,72.2,12.9,8.28,6.5,1.6,62,40.0,19.8,6.9,34.6,8,5.14,2,1.29,0.0,,,,0,0,3.2,3.9,135499,1000,2026,58,69,Decent,2024-25,Low Priority,Low (<€1M)
